"","Grid Size","Value","Analysis"
"1049","8625","8","Mode"
"1050","8625","9","Median"
"1051","8650","8.587","Mean"
"1052","8650","9","Mode"
"1053","8650","8","Median"
"1054","8675","8.553","Mean"
"1055","8675","8","Mode"
"1056","8675","8","Median"
"1057","8700","8.753","Mean"
"1058","8700","7","Mode"
"1059","8700","9","Median"
"1060","8725","8.658","Mean"
"1061","8725","8","Mode"
"1062","8725","8","Median"
"1063","8750","8.525","Mean"
"1064","8750","9","Mode"
"1065","8750","8","Median"
"1066","8775","8.671","Mean"
"1067","8775","9","Mode"
"1068","8775","9","Median"
"1069","8800","8.545","Mean"
"1070","8800","9","Mode"
"1071","8800","8","Median"
"1072","8825","8.717","Mean"
"1073","8825","8","Mode"
"1074","8825","9","Median"
"1075","8850","8.709","Mean"
"1076","8850","9","Mode"
"1077","8850","9","Median"
"1078","8875","8.467","Mean"
"1079","8875","8","Mode"
"1080","8875","8","Median"
"1081","8900","8.608","Mean"
"1082","8900","8","Mode"
"1083","8900","8","Median"
"1084","8925","8.543","Mean"
"1085","8925","8","Mode"
"1086","8925","8","Median"
"1087","8950","8.649","Mean"
"1088","8950","10","Mode"
"1089","8950","9","Median"
"1090","8975","8.64","Mean"
"1091","8975","8","Mode"
"1092","8975","9","Median"
"1093","9000","8.741","Mean"
"1094","9000","8","Mode"
"1095","9000","9","Median"
"1096","9025","8.582","Mean"
"1097","9025","8","Mode"
"1098","9025","8","Median"
"1099","9050","8.7","Mean"
"1100","9050","8","Mode"
"1101","9050","9","Median"
"1102","9075","8.706","Mean"
"1103","9075","9","Mode"
"1104","9075","9","Median"
"1105","9100","8.829","Mean"
"1106","9100","8","Mode"
"1107","9100","9","Median"
"1108","9125","8.68","Mean"
"1109","9125","8","Mode"
"1110","9125","8","Median"
"1111","9150","8.721","Mean"
"1112","9150","9","Mode"
"1113","9150","9","Median"
