"","Grid Size","Value","Analysis"
"248","2050","7","Mode"
"249","2050","7","Median"
"250","2075","7.287","Mean"
"251","2075","7","Mode"
"252","2075","7","Median"
"253","2100","7.253","Mean"
"254","2100","7","Mode"
"255","2100","7","Median"
"256","2125","7.37","Mean"
"257","2125","7","Mode"
"258","2125","7","Median"
"259","2150","7.295","Mean"
"260","2150","7","Mode"
"261","2150","7","Median"
"262","2175","7.237","Mean"
"263","2175","6","Mode"
"264","2175","7","Median"
"265","2200","7.265","Mean"
"266","2200","8","Mode"
"267","2200","7","Median"
"268","2225","7.346","Mean"
"269","2225","7","Mode"
"270","2225","7","Median"
"271","2250","7.217","Mean"
"272","2250","7","Mode"
"273","2250","7","Median"
"274","2275","7.349","Mean"
"275","2275","6","Mode"
"276","2275","7","Median"
"277","2300","7.274","Mean"
"278","2300","6","Mode"
"279","2300","7","Mode"
"280","2300","7","Median"
"281","2325","7.291","Mean"
"282","2325","7","Mode"
"283","2325","7","Median"
"284","2350","7.468","Mean"
"285","2350","7","Mode"
"286","2350","7","Median"
"287","2375","7.513","Mean"
"288","2375","7","Mode"
"289","2375","7","Median"
"290","2400","7.402","Mean"
"291","2400","7","Mode"
"292","2400","7","Median"
"293","2425","7.487","Mean"
"294","2425","7","Mode"
"295","2425","7","Median"
"296","2450","7.408","Mean"
"297","2450","6","Mode"
"298","2450","7","Median"
"299","2475","7.364","Mean"
"300","2475","7","Mode"
"301","2475","7","Median"
"302","2500","7.477","Mean"
"303","2500","6","Mode"
"304","2500","7","Median"
"305","2525","7.487","Mean"
"306","2525","7","Mode"
"307","2525","7","Median"
"308","2550","7.317","Mean"
"309","2550","8","Mode"
"310","2550","7","Median"
"311","2575","7.497","Mean"
"312","2575","7","Mode"
"313","2575","7","Median"
"314","2600","7.475","Mean"
"315","2600","7","Mode"
"316","2600","7","Median"
"317","2625","7.325","Mean"
"318","2625","8","Mode"
"319","2625","7","Median"
"320","2650","7.472","Mean"
"321","2650","8","Mode"
"322","2650","7","Median"
"323","2675","7.472","Mean"
"324","2675","8","Mode"
"325","2675","7","Median"
"326","2700","7.54","Mean"
"327","2700","7","Mode"
"328","2700","7","Median"
"329","2725","7.594","Mean"
"330","2725","6","Mode"
"331","2725","7","Median"
"332","2750","7.447","Mean"
"333","2750","7","Mode"
"334","2750","7","Median"
"335","2775","7.635","Mean"
"336","2775","7","Mode"
"337","2775","7","Median"
"338","2800","7.523","Mean"
"339","2800","7","Mode"
"340","2800","7","Median"
"341","2825","7.653","Mean"
"342","2825","6","Mode"
"343","2825","7","Mode"
"344","2825","7","Median"
"345","2850","7.58","Mean"
"346","2850","7","Mode"
"347","2850","7","Median"
"348","2875","7.51","Mean"
"349","2875","7","Mode"
"350","2875","7","Median"
"351","2900","7.473","Mean"
"352","2900","8","Mode"
"353","2900","7","Median"
"354","2925","7.584","Mean"
"355","2925","6","Mode"
"356","2925","7","Median"
"357","2950","7.573","Mean"
"358","2950","7","Mode"
"359","2950","7","Median"
"360","2975","7.577","Mean"
"361","2975","7","Mode"
"362","2975","8","Median"
"363","3000","7.442","Mean"
"364","3000","7","Mode"
"365","3000","7","Median"
"366","3025","7.529","Mean"
"367","3025","7","Mode"
"368","3025","7","Median"
"369","3050","7.508","Mean"
"370","3050","7","Mode"
"371","3050","7","Median"
"372","3075","7.709","Mean"
"373","3075","7","Mode"
"374","3075","8","Median"
"375","3100","7.616","Mean"
"376","3100","7","Mode"
"377","3100","7","Median"
"378","3125","7.618","Mean"
"379","3125","7","Mode"
"380","3125","7","Median"
"381","3150","7.659","Mean"
"382","3150","6","Mode"
"383","3150","7","Median"
"384","3175","7.655","Mean"
"385","3175","7","Mode"
"386","3175","7","Median"
"387","3200","7.643","Mean"
"388","3200","7","Mode"
